id,title,url,published_at,duration_seconds,views,likes,tags
pzzm5VSOn28,endoflife.date powershell with eol,https://youtu.be/pzzm5VSOn28,2023-02-02,259,67,,
9KCmB0nMnTA,📢 Fairphone is coming on endoflife.date 🍃,https://youtu.be/9KCmB0nMnTA,2023-02-01,585,38,3,
5KHg-_IKdeA,Asking google how to manage EoLs !,https://youtu.be/5KHg-_IKdeA,2023-01-29,41,35,1,
yF8dAr76Wu0,"endoflife.date spotted by Gizmodo for ""Here’s How Long Your Phone Will Be Supported""",https://youtu.be/yF8dAr76Wu0,2023-01-27,592,21,,
LIYfZXC97C8,endoflife date nested postgresql,https://youtu.be/LIYfZXC97C8,2023-01-27,1194,26,,
V1wb5dkdAPs,endoflife date psql lolcat,https://youtu.be/V1wb5dkdAPs,2023-01-25,19,31,,
rpRDstHf-fk,Browse Neo4j versions inside Neo4j AuraDB,https://youtu.be/rpRDstHf-fk,2023-01-11,1013,24,,
fTEBGePuqGk,Jreleaser is coming to endoflife date,https://youtu.be/fTEBGePuqGk,2023-01-05,81,45,,
aFtJx-dEqug,GitHub Issue race chart,https://youtu.be/aFtJx-dEqug,2022-12-20,74,50,,
ZOoawjzVa0g,charm_ VHS - endoflife.date,https://youtu.be/ZOoawjzVa0g,2022-12-14,51,236,1,
w9zAWPxMcPk,#nodes22 global technical debt,https://youtu.be/w9zAWPxMcPk,2022-12-05,107,108,,
zFrwXuzwXEo,carto neo4j,https://youtu.be/zFrwXuzwXEo,2022-12-05,32,36,,
2cOMB3s3Fuw,Nodes22 bloom meta,https://youtu.be/2cOMB3s3Fuw,2022-12-05,35,32,,
nEMeppRgMZY,Apache Maven has landed on endoflife.date,https://youtu.be/nEMeppRgMZY,2022-11-30,36,66,,
2dSzf4WdTjA,OPT-NC a son catalogue JBang!,https://youtu.be/2dSzf4WdTjA,2022-11-23,872,45,1,
VCphsrYfzak,Quarkus continuous redocly,https://youtu.be/VCphsrYfzak,2022-10-24,582,95,1,
_llZdBSS0iw,Grype contribs - jq trick - csv vulnerabilities  export,https://youtu.be/_llZdBSS0iw,2022-10-18,184,126,,
t_UhRhLU2II,DEVOPS-LABS 2022.04 - Kafka &  kafkacat,https://youtu.be/t_UhRhLU2II,2022-10-10,1497,230,3,
e42TjA127tg,OPT NC Partenaires mobilis demo mobile,https://youtu.be/e42TjA127tg,2022-10-03,79,5,,
K_U_LhMHvjw,OPT NC Partenaires Mobilis - Mobile,https://youtu.be/K_U_LhMHvjw,2022-10-03,125,27,,
0s6rHPg5Rqs,OPT NC Partenaires Mobilis Computer,https://youtu.be/0s6rHPg5Rqs,2022-10-03,110,46,,
ikMBuRjA6pA,OPT NC Partenaires Mobilis Tablette,https://youtu.be/ikMBuRjA6pA,2022-10-03,81,28,,
u1uKgdzM9sQ,Partenaires Moblis Demo,https://youtu.be/u1uKgdzM9sQ,2022-10-03,967,45,,
vvgbxY-iCEA,Partenaires Mobilis - Par API!,https://youtu.be/vvgbxY-iCEA,2022-09-28,34,47,,
lhMfKB6lukw,Phonenumber Validator - JBang demo,https://youtu.be/lhMfKB6lukw,2022-09-14,325,27,1,
4f7LAtm4pSw,Neo4J - Bloom for Dummies,https://youtu.be/4f7LAtm4pSw,2022-09-10,3005,237,2,
CorRJHu1fro,Neo4J   Installer Bloom,https://youtu.be/CorRJHu1fro,2022-09-10,256,306,1,
aEkj8D3LLWM,DOMAIN.nc : GET all domains !!!,https://youtu.be/aEkj8D3LLWM,2022-09-07,121,32,3,
qjjETvi0W9k,OPT SMS CLI  - csv et sms en masse,https://youtu.be/qjjETvi0W9k,2022-09-01,80,77,4,
Bf2I6nhN36w,"DEVOPS LABS 2022.03   Datascience, Dataviz et Domaine nc avec JupyterNotebook",https://youtu.be/Bf2I6nhN36w,2022-08-30,2186,29,,
rl3sCVyDqtY,Carto Neo4J NeoDash 2.0 demo,https://youtu.be/rl3sCVyDqtY,2022-08-25,1456,477,5,
ugttW3GgPCI,OPT-NC Shorts -  Est-ce que l'OPT-NC a des APIs publiques ?,https://youtu.be/ugttW3GgPCI,2022-08-22,38,20,,
WjQgS7aNgGc,OPT SMS CLI  - Long textos support,https://youtu.be/WjQgS7aNgGc,2022-08-18,145,29,,
oqrSA4ueUIo,Anakin veut OPT-SMS,https://youtu.be/oqrSA4ueUIo,2022-08-17,108,51,1,
d_vWqNONjCM,Colis nc - Démo RapidApi,https://youtu.be/d_vWqNONjCM,2022-08-10,942,55,1,
EtM2PZYT1cY,De Game of Thrones à l'urbanisation du système d'information,https://youtu.be/EtM2PZYT1cY,2022-08-03,2181,112,2,
4Rn_T_q207Y,OPT SMS CLI v0 0 1 SNAPSHOT,https://youtu.be/4Rn_T_q207Y,2022-07-28,61,41,1,
mvYckVNnaS4,Grype Contribs - jq tricks - get vulnerabilities as a clean csv (no template),https://youtu.be/mvYckVNnaS4,2022-07-27,139,63,,
U6MAq6Hc1iY,SMS awakens v0.0.1-SNAPSHOT,https://youtu.be/U6MAq6Hc1iY,2022-07-27,89,44,1,
WHzd_9v2ocw,Open Data 5S art digital,https://youtu.be/WHzd_9v2ocw,2022-07-21,1209,37,,
sNcQ_OzOINo,OPT NC Fallers Lighter,https://youtu.be/sNcQ_OzOINo,2022-07-20,141,6,,
T3h7WZ-CcFo,OPT NC Generative Art Unity,https://youtu.be/T3h7WZ-CcFo,2022-07-20,41,6,,
R1rNXhQ-UHI,OPT NC Generative Art Unity,https://youtu.be/R1rNXhQ-UHI,2022-07-20,41,120,,
2xBAxvcDgGI,OPT NC Generative Art   Unity v2,https://youtu.be/2xBAxvcDgGI,2022-07-20,59,51,,
PsTF55byh34,OPT NC Fallers Original,https://youtu.be/PsTF55byh34,2022-07-20,141,34,,
